Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-22,0.0007619999814778566,0.0008430000161752105,0.0007580000092275441,0.0007769999792799354,18271,0.0,0.0
2025-03-23,0.0007769999792799354,0.0008789999992586672,0.0007389999809674919,0.0007399999885819852,17240,0.0,0.0
2025-03-24,0.0007399999885819852,0.0008640000014565885,0.0007399999885819852,0.0008079999824985862,23934,0.0,0.0
2025-03-25,0.0008079999824985862,0.0008159999852068722,0.000661000027321279,0.000661000027321279,41501,0.0,0.0
2025-03-26,0.0006629999843426049,0.0006980000180192292,0.0004290000069886446,0.0005590000073425472,54539,0.0,0.0
2025-03-27,0.0005590000073425472,0.0006169999833218753,0.0005590000073425472,0.0005970000056549907,14215,0.0,0.0
2025-03-28,0.0005970000056549907,0.0006079999729990959,0.0003819999983534217,0.0004820000031031668,27670,0.0,0.0
2025-03-29,0.0004820000031031668,0.0004900000058114529,0.0004349999944679439,0.0004349999944679439,4952,0.0,0.0
2025-03-30,0.0004349999944679439,0.00045399999362416565,0.0004349999944679439,0.0004440000047907233,1909,0.0,0.0
2025-03-31,0.0004440000047907233,0.0004619999963324517,0.0004419999895617366,0.0004459999909158796,3725,0.0,0.0
2025-04-01,0.0004459999909158796,0.000450999999884516,0.0003640000068116933,0.0003650000144261867,16144,0.0,0.0
2025-04-02,0.0003650000144261867,0.0003650000144261867,0.0003009999927598983,0.0003009999927598983,8808,0.0,0.0
2025-04-03,0.0003009999927598983,0.00038300000596791506,0.0002880000101868063,0.00038300000596791506,10238,0.0,0.0
2025-04-04,0.00038300000596791506,0.0005159999709576368,0.00037799999699927866,0.0003870000073220581,27771,0.0,0.0
2025-04-05,0.00036299999919719994,0.00041000000783242285,0.0003389999910723418,0.0003650000144261867,22712,0.0,0.0
2025-04-06,0.0003650000144261867,0.00036899998667649925,0.000295000005280599,0.000295000005280599,10925,0.0,0.0
2025-04-07,0.000295000005280599,0.0003659999929368496,0.00026199998683296144,0.00036100001307204366,7523,0.0,0.0
2025-04-08,0.00036100001307204366,0.00036800000816583633,0.0003100000030826777,0.0003169999981764704,8881,0.0,0.0
2025-04-09,0.0003169999981764704,0.00037799999699927866,0.000299000006634742,0.0003650000144261867,0,0.0,0.0
2025-04-10,0.0003650000144261867,0.0003650000144261867,0.00030399998649954796,0.00030499999411404133,6224,0.0,0.0
2025-04-11,0.00030499999411404133,0.0003370000049471855,0.00030499999411404133,0.0003209999995306134,3818,0.0,0.0
2025-04-12,0.0003209999995306134,0.00034699999378062785,0.0003169999981764704,0.0003420000139158219,5327,0.0,0.0
2025-04-13,0.0003420000139158219,0.00034500000765547156,0.0003209999995306134,0.00032699998700991273,4286,0.0,0.0
2025-04-14,0.00032699998700991273,0.0004199999966658652,0.00032699998700991273,0.0004189999890513718,10699,0.0,0.0
2025-04-15,0.0004189999890513718,0.0005099999834783375,0.0004180000105407089,0.0004579999949783087,8173,0.0,0.0
2025-04-16,0.0004579999949783087,0.00046400001156143844,0.00039900001138448715,0.0004039999912492931,0,0.0,0.0
2025-04-17,0.0004039999912492931,0.00041599999531172216,0.00037200000951997936,0.0003760000108741224,3780,0.0,0.0
2025-04-18,0.0003760000108741224,0.0003870000073220581,0.000371000001905486,0.00038400001358240843,2001,0.0,0.0
2025-04-19,0.00038400001358240843,0.00042699999175965786,0.00038400001358240843,0.0004039999912492931,5197,0.0,0.0
2025-04-20,0.0004039999912492931,0.0004220000118948519,0.00035799999022856355,0.00036100001307204366,0,0.0,0.0
2025-04-21,0.00036100001307204366,0.00037900000461377203,0.00031900001340545714,0.00031900001340545714,7853,0.0,0.0
2025-04-22,0.0003190958232153207,0.00032793672289699316,0.0003132897836621851,0.0003178218612447381,9693,0.0,0.0
