Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-24,29.950000762939453,30.110000610351562,29.950000762939453,30.049999237060547,1210300,0.0,0.0
2025-03-25,30.15999984741211,30.190000534057617,30.030000686645508,30.1299991607666,771300,0.0,0.0
2025-03-26,29.75,29.81999969482422,29.440000534057617,29.56999969482422,1061400,0.0,0.0
2025-03-27,28.84000015258789,29.0,28.540000915527344,28.770000457763672,1042600,0.0,0.0
2025-03-28,27.8700008392334,27.889999389648438,27.200000762939453,27.260000228881836,1605900,0.0,0.0
2025-03-31,26.610000610351562,27.18000030517578,26.530000686645508,27.1299991607666,886300,0.0,0.0
2025-04-01,27.040000915527344,27.040000915527344,26.65999984741211,26.799999237060547,910100,0.0,0.0
2025-04-02,27.010000228881836,27.360000610351562,26.950000762939453,27.309999465942383,1033700,0.0,0.0
2025-04-03,26.729999542236328,26.959999084472656,26.290000915527344,26.34000015258789,1558000,0.0,0.0
2025-04-04,25.200000762939453,25.299999237060547,24.559999465942383,25.0,1831200,0.0,0.0
2025-04-07,24.760000228881836,26.239999771118164,24.559999465942383,25.34000015258789,2192400,0.0,0.0
2025-04-08,26.450000762939453,26.610000610351562,24.940000534057617,25.219999313354492,1781200,0.0,0.0
2025-04-09,25.43000030517578,27.829999923706055,25.260000228881836,27.6200008392334,2424500,0.0,0.0
2025-04-10,26.920000076293945,27.049999237060547,26.030000686645508,26.610000610351562,1522000,0.0,0.0
2025-04-11,27.030000686645508,27.649999618530273,26.950000762939453,27.6200008392334,948900,0.0,0.0
2025-04-14,27.739999771118164,28.350000381469727,27.68000030517578,28.149999618530273,1067900,0.0,0.0
2025-04-15,28.670000076293945,28.899999618530273,28.469999313354492,28.56999969482422,893600,0.0,0.0
2025-04-16,28.450000762939453,28.739999771118164,28.209999084472656,28.459999084472656,816100,0.0,0.0
2025-04-17,29.0,29.239999771118164,28.93000030517578,29.1200008392334,1314700,0.0,0.0
2025-04-21,29.350000381469727,29.420000076293945,28.950000762939453,29.15999984741211,1057100,0.0,0.0
